StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:45+00:00Z,2022-01-01T00:00+00:00Z,10Y1001A1001A83F,MAW,B19,24850
2022-01-01T00:00+00:00Z,2022-01-01T00:15+00:00Z,10Y1001A1001A83F,MAW,B19,24604
2022-01-01T00:15+00:00Z,2022-01-01T00:30+00:00Z,10Y1001A1001A83F,MAW,B19,24177
2022-01-01T00:30+00:00Z,2022-01-01T00:45+00:00Z,10Y1001A1001A83F,MAW,B19,23491
2022-01-01T00:45+00:00Z,2022-01-01T01:00+00:00Z,10Y1001A1001A83F,MAW,B19,23528
2022-01-01T01:00+00:00Z,2022-01-01T01:15+00:00Z,10Y1001A1001A83F,MAW,B19,23138
2022-01-01T01:15+00:00Z,2022-01-01T01:30+00:00Z,10Y1001A1001A83F,MAW,B19,22947
2022-01-01T01:30+00:00Z,2022-01-01T01:45+00:00Z,10Y1001A1001A83F,MAW,B19,22843
2022-01-01T01:45+00:00Z,2022-01-01T02:00+00:00Z,10Y1001A1001A83F,MAW,B19,22536
2022-01-01T02:00+00:00Z,2022-01-01T02:15+00:00Z,10Y1001A1001A83F,MAW,B19,22260
2022-01-01T02:15+00:00Z,2022-01-01T02:30+00:00Z,10Y1001A1001A83F,MAW,B19,21727
2022-01-01T02:30+00:00Z,2022-01-01T02:45+00:00Z,10Y1001A1001A83F,MAW,B19,21470
2022-01-01T02:45+00:00Z,2022-01-01T03:00+00:00Z,10Y1001A1001A83F,MAW,B19,20825
2022-01-01T03:00+00:00Z,2022-01-01T03:15+00:00Z,10Y1001A1001A83F,MAW,B19,20821
2022-01-01T03:15+00:00Z,2022-01-01T03:30+00:00Z,10Y1001A1001A83F,MAW,B19,20188
2022-01-01T03:30+00:00Z,2022-01-01T03:45+00:00Z,10Y1001A1001A83F,MAW,B19,20146
2022-01-01T03:45+00:00Z,2022-01-01T04:00+00:00Z,10Y1001A1001A83F,MAW,B19,19757
2022-01-01T04:00+00:00Z,2022-01-01T04:15+00:00Z,10Y1001A1001A83F,MAW,B19,19538
2022-01-01T04:15+00:00Z,2022-01-01T04:30+00:00Z,10Y1001A1001A83F,MAW,B19,19356
2022-01-01T04:30+00:00Z,2022-01-01T04:45+00:00Z,10Y1001A1001A83F,MAW,B19,19327
2022-01-01T04:45+00:00Z,2022-01-01T05:00+00:00Z,10Y1001A1001A83F,MAW,B19,19563
2022-01-01T05:00+00:00Z,2022-01-01T05:15+00:00Z,10Y1001A1001A83F,MAW,B19,19280
2022-01-01T05:15+00:00Z,2022-01-01T05:30+00:00Z,10Y1001A1001A83F,MAW,B19,19112
2022-01-01T05:30+00:00Z,2022-01-01T05:45+00:00Z,10Y1001A1001A83F,MAW,B19,18747
