StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YNL----------L,MAW,B20,3994
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YNL----------L,MAW,B20,4031
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YNL----------L,MAW,B20,4229
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YNL----------L,MAW,B20,4254
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YNL----------L,MAW,B20,4246
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YNL----------L,MAW,B20,4241
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YNL----------L,MAW,B20,4243
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YNL----------L,MAW,B20,4225
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YNL----------L,MAW,B20,4019
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YNL----------L,MAW,B20,3735
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YNL----------L,MAW,B20,3642
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YNL----------L,MAW,B20,3678
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YNL----------L,MAW,B20,3887
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YNL----------L,MAW,B20,4037
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YNL----------L,MAW,B20,3917
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YNL----------L,MAW,B20,3908
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YNL----------L,MAW,B20,3664
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YNL----------L,MAW,B20,3825
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YNL----------L,MAW,B20,3862
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YNL----------L,MAW,B20,3832
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YNL----------L,MAW,B20,3914
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YNL----------L,MAW,B20,3892
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YNL----------L,MAW,B20,3903
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10YNL----------L,MAW,B20,3889
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10YNL----------L,MAW,B20,3542
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10YNL----------L,MAW,B20,3448
2023-01-01T06:15+00:00Z,2023-01-01T06:30+00:00Z,10YNL----------L,MAW,B20,3420
2023-01-01T06:30+00:00Z,2023-01-01T06:45+00:00Z,10YNL----------L,MAW,B20,3507
2023-01-01T06:45+00:00Z,2023-01-01T07:00+00:00Z,10YNL----------L,MAW,B20,3457
2023-01-01T07:00+00:00Z,2023-01-01T07:15+00:00Z,10YNL----------L,MAW,B20,3518
2023-01-01T07:15+00:00Z,2023-01-01T07:30+00:00Z,10YNL----------L,MAW,B20,3517
2023-01-01T07:30+00:00Z,2023-01-01T07:45+00:00Z,10YNL----------L,MAW,B20,3466
2023-01-01T07:45+00:00Z,2023-01-01T08:00+00:00Z,10YNL----------L,MAW,B20,3459
2023-01-01T08:00+00:00Z,2023-01-01T08:15+00:00Z,10YNL----------L,MAW,B20,3663
2023-01-01T08:15+00:00Z,2023-01-01T08:30+00:00Z,10YNL----------L,MAW,B20,3797
2023-01-01T08:30+00:00Z,2023-01-01T08:45+00:00Z,10YNL----------L,MAW,B20,3938
2023-01-01T08:45+00:00Z,2023-01-01T09:00+00:00Z,10YNL----------L,MAW,B20,3992
2023-01-01T09:00+00:00Z,2023-01-01T09:15+00:00Z,10YNL----------L,MAW,B20,3995
2023-01-01T09:15+00:00Z,2023-01-01T09:30+00:00Z,10YNL----------L,MAW,B20,4079
2023-01-01T09:30+00:00Z,2023-01-01T09:45+00:00Z,10YNL----------L,MAW,B20,4103
2023-01-01T09:45+00:00Z,2023-01-01T10:00+00:00Z,10YNL----------L,MAW,B20,4053
2023-01-01T10:00+00:00Z,2023-01-01T10:15+00:00Z,10YNL----------L,MAW,B20,4007
2023-01-01T10:15+00:00Z,2023-01-01T10:30+00:00Z,10YNL----------L,MAW,B20,4008
2023-01-01T10:30+00:00Z,2023-01-01T10:45+00:00Z,10YNL----------L,MAW,B20,3955
2023-01-01T10:45+00:00Z,2023-01-01T11:00+00:00Z,10YNL----------L,MAW,B20,4134
2023-01-01T11:00+00:00Z,2023-01-01T11:15+00:00Z,10YNL----------L,MAW,B20,4142
2023-01-01T11:15+00:00Z,2023-01-01T11:30+00:00Z,10YNL----------L,MAW,B20,4686
2023-01-01T11:30+00:00Z,2023-01-01T11:45+00:00Z,10YNL----------L,MAW,B20,4745
2023-01-01T11:45+00:00Z,2023-01-01T12:00+00:00Z,10YNL----------L,MAW,B20,4231
2023-01-01T12:00+00:00Z,2023-01-01T12:15+00:00Z,10YNL----------L,MAW,B20,4152
2023-01-01T12:15+00:00Z,2023-01-01T12:30+00:00Z,10YNL----------L,MAW,B20,3939
2023-01-01T12:30+00:00Z,2023-01-01T12:45+00:00Z,10YNL----------L,MAW,B20,3921
2023-01-01T12:45+00:00Z,2023-01-01T13:00+00:00Z,10YNL----------L,MAW,B20,3696
2023-01-01T13:00+00:00Z,2023-01-01T13:15+00:00Z,10YNL----------L,MAW,B20,3386
2023-01-01T13:15+00:00Z,2023-01-01T13:30+00:00Z,10YNL----------L,MAW,B20,3362
2023-01-01T13:30+00:00Z,2023-01-01T13:45+00:00Z,10YNL----------L,MAW,B20,3274
2023-01-01T13:45+00:00Z,2023-01-01T14:00+00:00Z,10YNL----------L,MAW,B20,3008
2023-01-01T14:00+00:00Z,2023-01-01T14:15+00:00Z,10YNL----------L,MAW,B20,2844
2023-01-01T14:15+00:00Z,2023-01-01T14:30+00:00Z,10YNL----------L,MAW,B20,2730
2023-01-01T14:30+00:00Z,2023-01-01T14:45+00:00Z,10YNL----------L,MAW,B20,2643
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YNL----------L,MAW,B20,2581
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YNL----------L,MAW,B20,2481
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YNL----------L,MAW,B20,2475
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YNL----------L,MAW,B20,2549
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YNL----------L,MAW,B20,2960
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YNL----------L,MAW,B20,2982
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YNL----------L,MAW,B20,2850
